"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.112777721E0,2.332000017E0,-1.715000033E0,7.940000296E-1
1.117739875E0,2.132999897E0,-1.659999967E0,7.599999905E-1
1.122702024E0,2.272000074E0,-1.631999969E0,9.840000272E-1
1.127664178E0,2.440999985E0,-1.738999963E0,5.550000072E-1
1.132626578E0,2.325999975E0,-1.761999965E0,4.099999964E-1
1.137588808E0,2.144000053E0,-1.782999992E0,5.239999890E-1
1.142550962E0,2.209000111E0,-1.720999956E0,6.359999776E-1
1.147513136E0,2.082999945E0,-1.848000050E0,6.380000114E-1
1.152475521E0,2.012000084E0,-1.838000059E0,9.259999990E-1
1.157437674E0,2.009999990E0,-1.840000033E0,1.116999984E0
1.162399842E0,1.952000022E0,-1.817000031E0,1.031000018E0
1.167362073E0,1.500000060E-1,-3.670000136E-1,-3.429999948E-1
1.172324434E0,2.199999988E-2,-2.349999994E-1,-4.250000119E-1
1.177286588E0,-8.999999613E-3,-1.539999992E-1,-4.659999907E-1
1.182248818E0,-1.759999990E-1,-2.700000107E-1,-2.910000086E-1
1.187210967E0,-1.400000006E-1,-2.860000134E-1,-1.949999928E-1
1.192173352E0,-2.700000107E-1,-4.250000119E-1,-8.500000089E-2
1.197135506E0,-3.600000143E-1,-4.569999874E-1,-9.799999744E-2
1.202097670E0,-3.319999874E-1,-3.720000088E-1,-8.999999613E-3
1.207059823E0,-1.630000025E-1,-2.669999897E-1,-2.529999912E-1
1.212022006E0,1.600000076E-2,-1.230000034E-1,-3.190000057E-1
1.216984391E0,2.509999871E-1,-1.159999967E-1,-4.259999990E-1
1.221946314E0,3.289999962E-1,-5.400000140E-2,-5.299999714E-1
1.226908699E0,3.190000057E-1,-4.600000009E-2,-5.820000172E-1
1.231870929E0,3.389999866E-1,7.299999893E-2,-6.359999776E-1
1.236833083E0,3.070000112E-1,-3.700000048E-2,-5.950000286E-1
1.241795492E0,1.570000052E-1,-8.600000292E-2,-4.289999902E-1
1.246757723E0,-7.800000161E-2,-2.070000023E-1,-3.210000098E-1
1.251719847E0,-3.260000050E-1,-1.770000011E-1,-1.459999979E-1
1.256682001E0,-4.239999950E-1,-3.910000026E-1,1.640000045E-1
1.261644386E0,-4.869999886E-1,-3.840000033E-1,2.060000002E-1
1.266606559E0,-5.400000215E-1,-4.440000057E-1,2.150000036E-1
1.271568713E0,-5.809999704E-1,-5.070000291E-1,4.440000057E-1
1.276530943E0,-5.009999871E-1,-4.880000055E-1,4.140000045E-1
1.281493106E0,-3.170000017E-1,-4.880000055E-1,2.739999890E-1
1.286455260E0,-3.709999919E-1,-4.939999878E-1,3.519999981E-1
1.291417636E0,-4.539999962E-1,-3.260000050E-1,3.359999955E-1
1.296379790E0,-1.570000052E-1,-4.180000126E-1,4.429999888E-1
1.301341910E0,-1.010000035E-1,-2.910000086E-1,4.560000002E-1
1.306304371E0,4.000000190E-3,-3.000000119E-1,5.210000277E-1
1.311266525E0,-1.469999999E-1,-2.700000107E-1,5.059999824E-1
1.316228660E0,-4.100000113E-2,-1.190000027E-1,3.280000091E-1
1.321190891E0,4.500000179E-2,-1.030000001E-1,3.740000129E-1
1.326153044E0,6.800000370E-2,-1.999999955E-2,3.459999859E-1
1.331115183E0,-7.199999690E-2,-7.000000216E-3,4.269999862E-1
1.336077568E0,-8.000000380E-3,-4.899999872E-2,4.140000045E-1
1.341039722E0,-1.920000017E-1,-1.280000061E-1,3.930000067E-1
1.346001938E0,-3.330000043E-1,-1.959999949E-1,3.519999981E-1
1.350964091E0,-4.740000069E-1,-2.399999946E-1,3.389999866E-1
1.355926245E0,-5.600000024E-1,-2.829999924E-1,1.490000039E-1
